Id,Label,timeset ,value,eigencentrality,Rating,Author,Summary
0,1000 Years for Revenge,,n,0.1556,4.5,Peter Lance,"1000 Years for Revenge is a groundbreaking investigative work that uncovers startling evidence of how the FBI missed dozens of opportunities to stop the attacks of September 11, dating back to 1989. Award-winning journalist Peter Lance explains how an elusive al Qaeda mastermind defeated the entire American security system in what the author calls ""the greatest failure of intelligence since the Trojan Horse."" Threading the stories of FBI agent Nancy Floyd, FDNY fire marshal Ronnie Bucca, and bomb-maker Ramzi Yousef, Lance uncovers the years of behind-the-scenes intrigue that put these three strangers on a collision course. An unparalleled work of investigative reporting and masterful storytelling, 1000 Years for Revenge will change forever the way we look at the FBI and the war on terror in the twenty-first century."
1,Bush vs. the Beltway,,c,0.13048,3,Laurie Mylroie,"As the dust settles over Baghdad, a leading expert on Iraq tells the story of the obstacles that stood between the US and the fall of Saddam – and reveals that many of them came from within the US Government itself. Combining groundbreaking new research with an insider's understanding of the workings of Washington, Mylroie describes how forces within the CIA and the State Department have conspired to ly discredit crucial intelligence about Saddam Hussein's regime, from his links to al Qaeda to his development of chemical, biological, and nuclear weaponry. She charges the bureaucrats within these agencies with cynical, self–serving behaviour, designed to help them save face even at the expense of our national security. She describes how major elements of the case against Iraq––from new information about the al–Qaeda terrorists' possible links to Iraq, to potential Iraq involvement in the fall 2001 anthrax attacks––were suppressed or prematurely dismissed by these agencies. She reveals how the very idea of state–sponsored terrorism had been pronounced dead after the 1993 World Trade Center bombing––thereby giving states like Iraq the perfect cover to carry out well–orchestrated terrorist acts without ever being detected."
2,Charlie Wilson's War,,c,0.075388,4.5,George Crile,"The bestselling true story of a Texas congressman’s secret role in the Afghan defeat of Russian invaders is “a tour de force of reporting and writing” (Dan Rather). A New York Times, Washington Post, and Los Angeles Times bestseller. Charlie Wilson’s penchant for cocktails and beauty-contest winners was well known, but in the early 1980s, the dilettante congressman quietly conducted one of the most successful covert operations in US history. Using his seat on the House Appropriations Committee, Wilson channeled hundreds of millions of dollars to support a ragged band of Afghan “freedom fighters” in their resistance against Soviet invaders. Weapons were secretly procured and distributed with the help of an outcast CIA operative named Gust Avrakotos, who stretched the agency’s rules to the breaking point. Moving from the back rooms of Washington to secret chambers at Langley, and from arms-dealers’ conventions to the Khyber Pass, Wilson and Avrakotos helped the mujahideen win an unlikely victory against the Russians. Adapted into a film starring Tom Hanks, Julia Roberts, and Philip Seymour Hoffman, Charlie Wilson’s War chronicles an overlooked chapter in the collapse of the Soviet Union—and the emergence of a brand-new foe in the form of radical Islam."
3,Losing Bin Laden,,c,0.836998,3.7,Richard Miniter ,"Journalist Rich Miniter uses his unparalleled access to sources and stories throughout the Middle East, Africa, and the United States. He paints a devastating portrait of how close the U.S. military was to killing bin Laden--on multiple occasions--and how, each time, Clinton dropped the ball and allowed bin Laden to grow stronger and more dangerous."
4,Sleeping With the Devil,,n,0.213104,4.4,Robert Baer,"“Saudi Arabia is more and more an irrational state—a place that spawns global terrorism even as it succumbs to an ancient and deeply seated isolationism, a kingdom led by a royal family that can’t get out of the way of its own greed. Is this the fulcrum we want the global economy to balance on?” In his explosive New York Times bestseller, See No Evil, former CIA operative Robert Baer exposed how Washington politics drastically compromised the CIA’s efforts to fight global terrorism. Now in his powerful new book, Sleeping with the Devil, Baer turns his attention to Saudi Arabia, revealing how our government’s cynical relationship with our Middle Eastern ally and America’ s dependence on Saudi oil make us increasingly vulnerable to economic disaster and put us at risk for further acts of terrorism. For decades, the United States and Saudi Arabia have been locked in a “harmony of interests.” America counted on the Saudis for cheap oil, political stability in the Middle East, and lucrative business relationships for the United States, while providing a voracious market for the kingdom’ s vast oil reserves. With money and oil flowing freely between Washington and Riyadh, the United States has felt secure in its relationship with the Saudis and the ruling Al Sa’ud family. But the rot at the core of our “friendship” with the Saudis was dramatically revealed when it became apparent that fifteen of the nineteen September 11 hijackers proved to be Saudi citizens. In Sleeping with the Devil, Baer documents with chilling clarity how our addiction to cheap oil and Saudi petrodollars caused us to turn a blind eye to the Al Sa’ud’s culture of bribery, its abysmal human rights record, and its financial support of fundamentalist Islamic groups that have been directly linked to international acts of terror, including those against the United States. Drawing on his experience as a field operative who was on the ground in the Middle East for much of his twenty years with the agency, as well as the large network of sources he has cultivated in the region and in the U.S. intelligence community, Baer vividly portrays our decades-old relationship with the increasingly dysfunctional and corrupt Al Sa’ud family, the fierce anti-Western sentiment that is sweeping the kingdom, and the desperate link between the two. In hopes of saving its own neck, the royal family has been shoveling money as fast as it can to mosque schools that preach hatred of America and to militant fundamentalist groups—an end game just waiting to play out. Baer not only reveals the outrageous excesses of a Saudi royal family completely out of touch with the people of its kingdom, he also takes readers on a highly personal search for the deeper roots of modern terrorism, a journey that returns time again and again to Saudi Arabia: to the Wahhabis, the powerful Islamic sect that rules the Saudi street; to the Taliban and al Qaeda, both of which Saudi Arabia helped to underwrite; and to the Muslim Brotherhood, one of the most active and effective terrorist groups in existence, which the Al Sa’ud have sheltered and funded. The money and arms that we send to Saudi Arabia are, in effect, being used to cut our own throat, Baer writes, but America might have only itself to blame. So long as we continue to encourage the highly volatile Saudi state to bank our oil under its sand—and so long as we continue to grab at the Al Sa’ud’s money—we are laying the groundwork for a potential global economic catastrophe. “Put the Tom Clancy clones back on the shelf; this covert-ops chronicle is practically impossible to put down. No thriller writer would dare invent Wilson.” —Publishers Weekly “An engaging, well-written, newsworthy study of practical politics and its sometimes unlikely players, and one with plenty of implications.” —Kirkus Reviews"
5,The Man Who Warned America,,c,0.177444,4.6,Murray Weiss,"<p>As a teenager in Atlantic City in the 1960s, John O'Neill dreamed of becoming an FBI agent. Over the next four decades, his charisma, talent, and dedication catapulted him to the top echelons of the FBI in its fight against terrorism and drew him into a world of glamour, intrigue, and power.</p><p>Driven by an all-consuming desire to protect Americans, O'Neill rose through the FBI's ranks and played important roles in every major terrorism investigation of the 1990s, including the bombing of the Alfred P. Murrah building in Oklahoma City, the Khobar Towers in Saudi Arabia, and the <i>USS Cole</i> in Yemen; the twin embassy attacks in Africa; and the capture of Ramzi Yousef, who masterminded the 1993 World Trade Center bombing. O'Neill's larger-than-life personality, hard-charging style, and insistent warnings against complacency won him both fervent admirers and bitter enemies among government officials and his crime-fighting colleagues.</p><p>In 1995, O'Neill became the first agent to recognize Osama bin Laden and his Al Qaeda network as the single greatest terrorist threat to America. He campaigned relentlessly for increased cooperation between the CIA, the FBI, and U.S. and foreign governments, and made decisions that would change the face of counterterrorism. O'Neill won the respect of many powerful figures around the world and earned a legendary reputation as a bon vivant, an innovative leader, and a bridge builder of important alliances. But O'Neill's confident, charming public persona belied several professional disappointments and the growing strain of secretly maintaining a complex web of romantic relationships. When the FBI and the U.S. government continued to disregard his calls to connect the terror trail to bin Laden and his associates, O'Neill became even more disillusioned and ultimately resigned his post at the FBI. Just days later, John O'Neill perished helping others to safety on September 11, 2001, while on his new job as director of security at the World Trade Center. Ironically, as Louis Napoli of the joint terrorist task force said, ""[O'Neill] chased bin Laden all over the world and bin Laden caught up with him."" In <i>The Man Who Warned America</i>, Murray Weiss weaves groundbreaking insider insight and hundreds of hardhitting interviews into a masterful tale of John O'Neill's quest to save America.</p>"
6,Why America Slept,,n,0.297294,3.9,Gerald Posner,"The story of the years leading up to 9/11 is the story of what might have been, and also serves as a call to the defense of America’s future. Since 9/11, one important question has persisted: What was really going on behind the scenes with intelligence services and government leaders during the time preceding the World Trade Center and Pentagon attacks? After an eighteen-month investigation that uncovered explosive new evidence through interviews and in classified documents, Gerald Posner reveals much previously undisclosed information: the identity of two countries that might have had foreknowledge that a terrorist attack was scheduled for September 11 on U.S. soil. a startling account of the interrogation of a leading al Qaeda captive. facts about a series of deaths that point to an ongoing conspiracy by some governments to hide the extent of their earlier relationships with al Qaeda. how the U.S. government missed several chances to kill or capture bin Laden. evidence that German intelligence may have protected an informant who was involved with many of the 9/11 plotters. how the CIA tracked—and then lost—two of the hijackers when they entered the United States more than twenty months before the attacks. the devastating consequences of the crippling rivalry between the CIA and FBI as the United States moved unwittingly toward 9/11  In a dramatic narrative, Why America Slept exposes the frequent mistakes made by law enforcement and government agencies, and demonstrates how the failures to prevent 9/11 were tragically not an exception but typical. Along the way, by delving into terror financing, the links between far-flung terror organizations, and how the United States responded over the years to other attacks, Posner also makes a damning case that 9/11 could have been prevented. Why America Slept lays to rest two years of conjecture about what led up to the worst terror attacks in America’s history. This breakthrough book presents an infuriating review of how incompetence and misplaced priorities made America an easy target for terrorists."
7,Ghost Wars,,n,0.265632,4.6,Steve Coll ,"Winner of the 2005 Pulitzer Prize. From the award-winning and bestselling author of Directorate S, the explosive first-hand account of America's secret history in Afghanistan. To what extent did America’s best intelligence analysts grasp the rising thread of Islamist radicalism? Who tried to stop bin Laden and why did they fail? Comprehensively and for the first time, Pulitzer Prize-winning journalist Steve Coll recounts the history of the covert wars in Afghanistan that fueled Islamic militancy and sowed the seeds of the September 11 attacks. Based on scrupulous research and firsthand accounts by key government, intelligence, and military personnel both foreign and American, Ghost Wars details the secret history of the CIA’s role in Afghanistan (including its covert operations against Soviet troops from 1979 to 1989), the rise of the Taliban, the emergence of bin Laden, and the failed efforts by U.S. forces to find and assassinate bin Laden in Afghanistan."
8,A National Party No More,,c,1,3.8,Zell Miller,"With the growl of the Marine sergeant he was, Senator Zell Miller leaves no doubt that he believes his own Democratic Party is badly out of step with most of the country and needs to shape up or ship out. As part of a stinging critique of the Democratic Party, Miller outlines key positions on important issues that can again make the party relevant for the entire nation. From tax cuts to welfare, gun control to the environment, the arts to education, immigration to terrorism, Miller identifies values that make sense to a growing majority of Americans. Miller's candid analysis of the campaigns of Jimmy Carter and Bill Clinton further underscores his conclusion that the Democratic Party can no longer field a serious presidential challenge. Many party loyalists will not like what Senator Miller writes; yet his credentials are beyond question, for few Democrats have worked longer or stronger for the party and its candidates."
9,Bush Country,,c,0.674792,2.6,John Podhoretz,"In this rousing, persuasive, and hugely entertaining book, John Podhoretz says that George W. Bush has earned a place in the pantheon of great American chief executives---and shows in one amazing detail after another how Bush's success has driven some of his critics into a pathological frenzy. Podhoretz is the first to acknowledge that the odds were stacked against Dubya, the inexperienced Texas governor who took up residence in the White House lacking an electoral majority, dogged by widely publicized verbal mishaps, and widely viewed by the American elite as a lightweight. But to the delight of his friends and the teeth-gnashing frustration of liberals, George W. Bush has proven himself an immensely effective president. Throughout his three years in the White House, as Podhoretz explains, Dubya has outsmarted, out-maneuvered, out-articulated, and outshone adversaries and critics. Steeled by the tragedy of September 11, the new president took a nation more obsessed with reality television than with the reality of international terrorism and girded it for the long struggle that lay ahead. He has presided over two major military campaigns to stunning success, initiated tax cuts whose dimensions have awed critics and fans alike, and brought his party into the twenty-first century. He has been resourceful, disciplined, and independent-minded---so much so that he was able to reject his own father's governing style as president to find his own voice and his own place in history. Bush hasn't hoarded his political capital, but has used it in bold and unexpected ways. Instead of bowing to conventional wisdom and carving out a centrist position, he has remained true to his ideological roots. Instead of deferring to established Beltway thinking, he has done what he thinks is best for America and the world. As Bush has grown more presidential, the criticisms of him have grown more intense---and, in Podhoretz's view, crazier and crazier. In a series of short chapters, Podhoretz takes a rhetorical scalpel to eight of the wildest caricatures of Bush and leaves them in hilarious shreds. In a season of broadsides being fired from both sides of the aisle, here is a book that distinguishes itself by the force of its arguments and the ringing clarity of its thought. Impassioned, insightful, and convincing, Bush Country is an analysis of a presidency gone right and a celebration of a 0man who has already earned his place in history."
10,Dereliction of Duty,,c,0.559829,4.5,H. R. McMaster,"""The war in Vietnam was not lost in the field, nor was it lost on the front pages of the New York Times or the college campuses. It was lost in Washington, D.C."" - H. R. McMaster (from the Conclusion) Dereliction Of Duty is a stunning analysis of how and why the United States became involved in an all-out and disastrous war in Southeast Asia. Fully and convincingly researched, based on transcripts and personal accounts of crucial meetings, confrontations and decisions, it is the only book that fully re-creates what happened and why. H. R. McMaster pinpoints the policies and decisions that got the United States into the morass and reveals who made these decisions and the motives behind them, disproving the published theories of other historians and excuses of the participants. A page-turning narrative, Dereliction Of Duty focuses on a fascinating cast of characters: President Lyndon Johnson, Robert McNamara, General Maxwell Taylor, McGeorge Bundy and other top aides who deliberately deceived the Joint Chiefs of Staff, the U.S. Congress and the American public. McMaster's only book, Dereliction of Duty is an explosive and authoritative new look at the controversy concerning the United States involvement in Vietnam."
11,Legacy,,c,0.764188,4.6,Ken Lozito,"After narrowly defeating the invading enemy fleet, there is evidence that the attack isn’t over. Thousands have died and all that stands between human extinction and the invaders are the remnants of the colonial military. Connor must find a way to rally the colony using every scrap of ingenuity to stop the invaders. But will he succeed when he finds himself pitted against mankind’s ultimate enemy? This could be mankind’s final hour . . . or its greatest victory."
12,Off with Their Heads,,c,0.960619,4.2,Martin Oliver,"Bursting with the best-bits from British history, this book seeks to inspire a love of history that can last a lifetime. Including rules to remember the rulers of Britain, getting to grips with the gunpowder plot and clueing-up on the cruel fate of all six of Henry VIII's wives. Complete with light-hearted illustrations by Andrew Pinder, Off With Their Heads is the perfect treat for any young history lover."
13,Persecution,,c,0.57069,4,David Limbaugh,"In this New York Times bestseller, David Limbaugh exposes the liberal hypocrisy of promoting political correctness while discriminating against Christianity. From the elimination of school prayer to the eradication of the story of Christianity from history textbooks, this persuasive book shows that our social engineers inculcate hostility toward this religion and its values in the name of ""diversity,"" ""tolerance,"" and ""multiculturalism."" Through court cases, case studies, and true stories, Limbaugh details the widespread assault on the religious liberties of Christians in America today and urges believers to fight back in order to restore their First Amendment right of religious freedom."
14,Rumsfeld's War,,c,0.470837,3.4,Rowan Scarborough ,"Not since Robert McNamara has a secretary of defense been so hated by the military and derided by the public, yet played such a critical role in national security policy—with such disastrous results. Donald Rumsfeld was a natural for secretary of defense, a position he'd already occupied once before. He was smart. He worked hard. He was skeptical of the status quo in military affairs and dedicated to high-tech innovations. He seemed the right man at the right time-but history was to prove otherwise. Now Dale Herspring, a political conservative and lifelong Republican, offers a nonpartisan assessment of Rumsfeld's impact on the U.S. military establishment from 2001 to 2006, focusing especially on the Iraq War-from the decision to invade through the development and execution of operational strategy and the enormous failures associated with the postwar reconstruction of Iraq. Extending the critique of civil-military relations he began in The Pentagon and the Presidency, Herspring highlights the relationship between the secretary and senior military leadership, showing how Rumsfeld and a handful of advisers—notably Paul Wolfowitz and Douglas Feith—manipulated intelligence and often ignored the military in order to implement their policies. And he demonstrates that the secretary's domineering leadership style and trademark arrogance undermined his vision for both military transformation and Iraq. Herspring shows that, contrary to his public deference to the generals, Rumsfeld dictated strategy and operations—sometimes even tactics—to prove his transformation theories. He signed off on abolishing the Iraqi army, famously refused to see the need for a counterinsurgency plan, and seemed more than willing to tolerate the torture of prisoners. Meanwhile, the military became demoralized and junior officers left in droves. Rumsfeld's Wars revisits and reignites the concept of ""arrogance of power,"" once associated with our dogged failure to understand the true nature of a tragic war in Southeast Asia. It provides further evidence that success in military affairs is hard to achieve without mutual respect between civilian authorities and military leaders—and offers a definitive case study in how not to run the office of secretary of defense."
