,Journal,Author_Name,edge_Weight
0,Nature Materials,"Geim, A. K.",2
0,Nature Materials,"Novoselov, K. S.",2
1,Astronomy and Astrophysics,"Shakura, N. I.",28
1,Astronomy and Astrophysics,"Sunyaev, R. A.",28
2,The Astrophysical Journal Supplement Series,"Spergel, D. N.",232
2,The Astrophysical Journal Supplement Series,"Verde, L.",232
2,The Astrophysical Journal Supplement Series,"Peiris, H. V.",232
2,The Astrophysical Journal Supplement Series,"Komatsu, E.",232
2,The Astrophysical Journal Supplement Series,"Nolta, M. R.",232
2,The Astrophysical Journal Supplement Series,"Bennett, C. L.",232
2,The Astrophysical Journal Supplement Series,"Halpern, M.",232
2,The Astrophysical Journal Supplement Series,"Hinshaw, G.",232
2,The Astrophysical Journal Supplement Series,"Jarosik, N.",232
2,The Astrophysical Journal Supplement Series,"Kogut, A.",232
2,The Astrophysical Journal Supplement Series,"Limon, M.",232
2,The Astrophysical Journal Supplement Series,"Meyer, S. S.",232
2,The Astrophysical Journal Supplement Series,"Page, L.",232
2,The Astrophysical Journal Supplement Series,"Tucker, G. S.",232
2,The Astrophysical Journal Supplement Series,"Weiland, J. L.",232
2,The Astrophysical Journal Supplement Series,"Wollack, E.",232
2,The Astrophysical Journal Supplement Series,"Wright, E. L.",232
3,Astronomy and Astrophysics Supplement Series,"Bertin, E.",6
3,Astronomy and Astrophysics Supplement Series,"Arnouts, S.",6
4,Monthly Notices of the Royal Astronomical Society,"Bruzual, G.",25
4,Monthly Notices of the Royal Astronomical Society,"Charlot, S.",25
5,The Astrophysical Journal,"Salpeter, Edwin E.",56
6,Princeton,"Binney, James",2
6,Princeton,"Tremaine, Scott",6
7,Annual Review of Astronomy and Astrophysics,"Kennicutt, Robert C., Jr.",12
8,Publications of the Astronomical Society of the Pacific,"Stetson, Peter B.",2
9,Publications of the Astronomical Society of the Pacific,"Chabrier, Gilles",2
10,The Astronomical Journal,"Landolt, Arlo U.",17
11,Physical Review Letters,"Abbott, B. P.",1307
11,Physical Review Letters,"Abbott, R.",1307
11,Physical Review Letters,"Abbott, T. D.",1307
11,Physical Review Letters,"Abernathy, M. R.",1307
11,Physical Review Letters,"Acernese, F.",1307
11,Physical Review Letters,"Ackley, K.",1307
11,Physical Review Letters,"Adams, C.",1307
11,Physical Review Letters,"Adams, T.",1307
11,Physical Review Letters,"Addesso, P.",1307
11,Physical Review Letters,"Adhikari, R. X.",1307
11,Physical Review Letters,"Adya, V. B.",1307
