A_name,A Wiley-Interscience Publication,Annual Review of Astronomy and Astrophysics,Astronomy and Astrophysics,Astronomy and Astrophysics Supplement Series,ESA Special Publication,Monthly Notices of the Royal Astronomical Society,Nature,Nature Materials,Physical Review Letters,Princeton,Publications of the Astronomical Society of the Pacific,Reviews of Modern Physics,San Francisco: W.H. Freeman,The Astronomical Journal,The Astrophysical Journal,The Astrophysical Journal Supplement Series
"Abazajian, Kevork N.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Abbott, B. P.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Abbott, R.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Abbott, T. D.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Abernathy, M. R.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acernese, F.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ackley, K.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Adams, C.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Adams, Fred C.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, T.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Addesso, P.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Adelman-McCarthy, Jennifer K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adhikari, R. X.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Adya, V. B.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Affeldt, C.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Afrough, M.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agarwal, B.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agathos, M.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agatsuma, K.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aggarwal, N.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aguiar, O. D.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agüeros, Marcel A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aiello, L.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ain, A.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ajith, P.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Allam, Sahar S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Allard, F.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allen, B.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Allen, G.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Allende Prieto, Carlos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
